"Author","Birth Year","Death Year","Work","Publication Year","Summary","Themes","Keywords"
"João Simões Lopes Neto","1865","1916","Contos Gauchescos","1912","Coletânea de contos que retratam o gaúcho e o cotidiano do pampa, com forte influência da oralidade e do regionalismo. O autor utiliza uma linguagem rica em gírias e expressões típicas do sul.","Regionalismo, Identidade Gaúcha, Oralidade, Tradição","Conto, Gaúcho, Pampa, Tradição Oral, Regionalismo"
"João Simões Lopes Neto","1865","1916","Lendas do Sul","1913","Reúne lendas e mitos do folclore sul-rio-grandense, como a lenda da erva-mate, do Negrinho do Pastoreio e do Peixe, preservando a memória cultural da região.","Folclore, Mitologia, Cultura Gaúcha, Tradição Oral","Lenda, Mitologia, Folclore, Sul, Erva-Mate, Negrinho do Pastoreio"
"João Simões Lopes Neto","1865","1916","Terra Gaúcha","1914","Obra que exalta a paisagem, a história e o povo do Rio Grande do Sul, misturando crônicas e relatos de viagem com um olhar afetivo e descritivo.","Regionalismo, Paisagem, Identidade, História do RS","Crônica, Paisagem, Gaúcho, Descrição, Viagem"
"Érico Veríssimo","1905","1975","Clarissa","1933","Primeiro romance do autor, narra a história de Clarissa, uma jovem que se muda para Porto Alegre e enfrenta os desafios da adolescência e da adaptação à cidade grande.","Romance de Formação, Urbanização, Adolescência, Imigração","Romance, Formação, Porto Alegre, Adolescência, Imigração"
"Érico Veríssimo","1905","1975","Caminhos Cruzados","1935","Retrata a vida da classe média porto-alegrense nos anos 1930, entrelaçando os destinos de vários personagens em uma trama de relações sociais e conflitos pessoais.","Romance Social, Cotidiano, Relações Humanas","Romance, Classe Média, Porto Alegre, Relações Sociais"
"Érico Veríssimo","1905","1975","Música ao Longe","1936","Dá continuidade à saga da família Terra, abordando os conflitos geracionais e as mudanças sociais no interior do Rio Grande do Sul.","Romance Familiar, Conflitos Geracionais, Sociedade Rural","Romance, Família, Drama, Gerações"
"Érico Veríssimo","1905","1975","Olhai os Lírios do Campo","1938","Romance sobre um jovem médico que abandona a carreira por amor, refletindo sobre o idealismo, a ética médica e as pressões da sociedade.","Amor, Idealismo, Sociedade, Medicina","Romance, Médico, Idealismo, Amor, Sociedade"
"Érico Veríssimo","1905","1975","O Gato Preto em Campo de Neve","1941","Conto ou novela que mistura elementos fantásticos e realistas, tendo como cenário a neve e a presença de um gato preto, numa atmosfera de mistério.","Fantasia, Simbolismo, Natureza","Conto, Gato, Neve, Mistério"
"Érico Veríssimo","1905","1975","As Aventuras de Tibicuera","1943","Romance de aventura que acompanha um índio brasileiro em suas viagens pelo país, com um viés indianista e nacionalista, explorando a diversidade cultural do Brasil.","Indianismo, Nacionalismo, Aventura, Diversidade Cultural","Romance, Índio, Aventura, Brasil, Nacionalismo"
"Érico Veríssimo","1905","1975","O Resto é Silêncio","1943","Romance policial ambientado em Porto Alegre, que gira em torno de um crime e da investigação, revelando os bastidores da sociedade local.","Crime, Investigação, Sociedade, Porto Alegre","Romance Policial, Porto Alegre, Crime, Investigação"
"Érico Veríssimo","1905","1975","O Continente","1949","Primeiro volume da trilogia O Tempo e o Vento, épico que narra a história do Rio Grande do Sul desde as guerras de fronteira até a Revolução Federalista, acompanhando a família Terra.","Romance Épico, História do RS, Guerra, Família","Romance Épico, História, Família, Guerras, Farroupilha"
"Érico Veríssimo","1905","1975","O Retrato","1951","Segundo volume da trilogia, continuando a saga dos Terra e aprofundando os conflitos políticos e sociais do estado.","Romance Épico, História, Política","Romance, História, Política, Família"
"Érico Veríssimo","1905","1975","Noite","1954","Romance que explora os medos e segredos humanos em meio à noite, com tom de suspense e reflexão sobre a condição humana.","Medo, Mistério, Psicologia","Romance, Medo, Mistério, Noite"
"Érico Veríssimo","1905","1975","O Arquipélago","1961","Terceiro e último volume da trilogia, aborda a modernização do Rio Grande do Sul e o declínio da família Terra, com foco nas transformações do século XX.","Modernização, História, Declínio","Romance, Modernização, História, Família"
"Érico Veríssimo","1905","1975","O Senhor Embaixador","1965","Romance político que acompanha a vida de um embaixador brasileiro em um país fictício, tratando de diplomacia, poder e relações internacionais.","Política, Diplomacia, Poder","Romance, Diplomacia, Política, Poder"
"Érico Veríssimo","1905","1975","O Prisioneiro","1967","Narra a história de um prisioneiro político e sua luta pela liberdade, refletindo sobre a opressão e a resistência.","Opressão, Liberdade, Política","Romance, Prisão, Liberdade, Política"
"Érico Veríssimo","1905","1975","Incidente em Antares","1971","Romance de realismo fantástico que se passa em uma cidade fictícia durante uma greve, onde os mortos se revoltam, satirizando a política e a sociedade brasileira.","Realismo Fantástico, Sátira, Política, Greve","Romance, Fantasia, Política, Sátira, Greve"
"Érico Veríssimo","1905","1975","Solo de Clarinete (Vol I)","1973","Primeiro volume das memórias do autor, cobrindo sua infância, juventude e início da carreira literária, com relatos pessoais e observações sobre o Brasil.","Autobiografia, Memórias, Literatura Brasileira","Memórias, Autobiografia, Infância, Juventude"
"Érico Veríssimo","1905","1975","Solo de Clarinete (Vol II)","1976","Segundo volume das memórias, aborda a maturidade, as viagens e a consolidação de sua obra, além de reflexões sobre o contexto político e social.","Autobiografia, Memórias, Viagens","Memórias, Autobiografia, Viagens, Política"
"Mario Quintana","1906","1994","A Rua dos Cataventos","1940","Primeiro livro de poesia do autor, que revela seu estilo lírico e intimista, com versos que capturam o cotidiano e a nostalgia da infância.","Poesia, Cotidiano, Nostalgia, Infância","Poesia, Cataventos, Cotidiano, Nostalgia"
"Mario Quintana","1906","1994","Canções","1946","Coletânea de poemas que celebram o amor, a música e as pequenas coisas da vida, com um tom melancólico e ao mesmo tempo esperançoso.","Poesia, Amor, Música, Melancolia","Poesia, Canções, Amor, Música"
"Mario Quintana","1906","1994","Sapato Florido","1948","Poemas que mesclam fantasia e realidade, explorando a imaginação infantil e a beleza das coisas simples.","Poesia, Fantasia, Infância, Imaginação","Poesia, Sapato, Flor, Infância, Fantasia"
"Mario Quintana","1906","1994","Caderno H","1973","Obra mais madura, com poemas reflexivos sobre o tempo, a memória e a condição humana, marcada por um tom filosófico e intimista.","Poesia, Reflexão, Tempo, Memória","Poesia, Caderno, Filosofia, Memória"
"Mario Quintana","1906","1994","Lili Inventa o Mundo","1983","Livro de poesia infantil que celebra a imaginação e a criatividade, com versos lúdicos e ilustrações.","Poesia Infantil, Imaginação, Lúdico","Poesia Infantil, Imaginação, Lúdico"
"Dyonélio Machado","1895","1985","Os Ratos","1935","Romance que acompanha um funcionário público em sua luta para pagar uma dívida, retratando a pobreza, a burocracia e a angústia existencial nos anos 1930.","Pobreza, Burocracia, Angústia, Crise Econômica","Romance, Crise, Dívida, Angústia, Burocracia"
"Cyro Martins","1908","1995","Sem Rumo","1937","Romance que narra a migração de um gaúcho do campo para a cidade, abordando o choque cultural, a solidão e a busca por identidade.","Migração, Adaptação, Urbanização, Identidade","Romance, Migração, Gaúcho, Cidade, Identidade"
"Cyro Martins","1908","1995","Porteira Fechada","1944","Continuação da saga do personagem, explorando os desafios do gaúcho no ambiente urbano e as transformações sociais.","Migração, Sociedade, Conflitos","Romance, Migração, Sociedade, Conflito"
"Cyro Martins","1908","1995","Estrada Nova","1952","Conclui a trilogia, mostrando a integração do protagonista à vida urbana e suas reflexões sobre o futuro.","Urbanização, Integração, Transformação","Romance, Urbanização, Integração, Sociedade"
"Cyro Martins","1908","1995","O Anjo Cochilando","1999","Romance póstumo com elementos de fantasia, onde um anjo cochila e provoca reflexões sobre a vida e a morte.","Fantasia, Vida, Morte, Reflexão","Romance, Anjo, Fantasia, Reflexão"
"Moacyr Scliar","1937","2011","A Guerra no Bom Fim","1972","Romance que retrata a vida da comunidade judaica em Porto Alegre, misturando humor e drama para abordar identidade, tradição e conflitos.","Judaísmo, Identidade, Comunidade, Porto Alegre","Romance, Judeus, Porto Alegre, Identidade, Guerra"
"Moacyr Scliar","1937","2011","O Exército de um Homem Só","1973","Romance sobre um homem que cria seu próprio exército para enfrentar a solidão, com tom absurdo e crítico à sociedade contemporânea.","Absurdo, Solidão, Fantasia, Crítica Social","Romance, Absurdo, Solidão, Fantasia"
"Moacyr Scliar","1937","2011","O Centauro no Jardim","1980","Romance que narra a vida de um centauro judeu, metáfora para a imigração e a busca de identidade em um país estrangeiro.","Identidade, Imigração, Fantasia, Judaísmo","Romance, Centauro, Identidade, Imigração, Fantasia"
"Moacyr Scliar","1937","2011","A Majestade do Xingu","1997","Romance que aborda a questão indígena e ambiental, tendo como cenário o Parque do Xingu e a luta pela preservação.","Indigenismo, Ambientalismo, Cultura Indígena","Romance, Xingu, Índios, Ambientalismo"
"Moacyr Scliar","1937","2011","A Mulher que Escreveu a Bíblia","1999","Ficção histórica que imagina a história de uma mulher que teria escrito a Bíblia, questionando o papel feminino na religião e na sociedade.","Feminismo, Religião, Ficção Histórica, Gênero","Romance, Feminismo, Bíblia, Ficção Histórica"
"Oliveira Silveira","1941","2009","Perguntas","1968","Primeira obra poética, marcada por questionamentos existenciais e um tom de inquietação, refletindo o contexto de ditadura militar no Brasil.","Poesia, Existencialismo, Ditadura, Resistência","Poesia, Perguntas, Existencialismo, Resistência"
"Oliveira Silveira","1941","2009","Pelo Escuro","1977","Poesia que explora a escuridão como metáfora para o silêncio imposto, com versos densos e de forte carga política e social.","Poesia, Escuridão, Política, Silêncio","Poesia, Escuridão, Política, Silêncio"
"Oliveira Silveira","1941","2009","Roteiro dos Inesperados","1981","Poemas que celebram os encontros e as surpresas da vida, com um olhar atento ao cotidiano e às pequenas epifanias.","Poesia, Cotidiano, Surpresa, Encontro","Poesia, Roteiro, Inesperado, Cotidiano"
"Oliveira Silveira","1941","2009","Poemas Regionais","1981","Coletânea de poemas que resgatam a cultura e a paisagem do Rio Grande do Sul, com forte apelo regionalista e afetivo.","Poesia Regional, Identidade, Paisagem, Tradição","Poesia Regional, Gaúcho, Tradição, Paisagem"
"Oliveira Silveira","1941","2009","Banzo Saudade Black","1987","Poesia que aborda a experiência negra no Brasil, a saudade da África e a resistência cultural, com influência do blues e da música negra.","Negritude, Saudade, Africanidade, Resistência","Poesia, Negritude, Saudade, Africanidade, Blues"
"Josué Guimarães","1921","1986","A Ferro e Fogo (Vol I)","1970","Romance histórico que retrata a Revolução Farroupilha, com foco nas batalhas e nos conflitos sociais, políticos e econômicos do período.","Romance Histórico, Revolução Farroupilha, Guerra, Política","Romance Histórico, Farroupilha, Guerra, Revolução"
"Josué Guimarães","1921","1986","Os Caminhos do Estranho","1975","Romance que aborda a chegada de um estrangeiro a uma comunidade gaúcha, explorando o choque cultural e os preconceitos.","Estrangeirismo, Identidade, Comunidade","Romance, Estrangeiro, Identidade, Choque Cultural"
"Josué Guimarães","1921","1986","Tambores Silenciosos","1976","Romance sobre a Revolução Farroupilha, destacando os aspectos humanos e a resistência dos combatentes.","Romance Histórico, Guerra, Resistência","Romance Histórico, Farroupilha, Guerra, Resistência"
"Josué Guimarães","1921","1986","É Tarde para Saber","1977","Romance sobre os segredos de família e a descoberta tardia de verdades ocultas, com tom de suspense e drama psicológico.","Segredos, Família, Descoberta, Suspense","Romance, Segredos, Família, Suspense"
